date,note,texte,source,Catégorie,Catégorie_secondaire,Gravité
2026-04-14 13:39:39+00:00,1,"CATASTROPHIQUE !!. CATASTROPHIQUE !!! je cherche à poster 3 annonces, j'en poste 1, je veux accéder à l'espace ""propriétaire"". 
on m'envoie un code par sms, je saisis le code ""une erreur est survenue"". J'ai appelé près de 20 fois, personne ne parle le français, c'est des gens avec qui il est impossible de parler. Aucune aide. On me rappelle pour ""optimiser mon annonce"" or je veux juste me connecter. On me répond jamais. Sur le tchat on raccroche le tchat sans vous répondre. C'est honteux, c'est une catastrophe. Aucune notion de service ! FUYEZ !!!",Trustpilot,Localisation / Langue,Bug Technique,Haute
2026-04-13 23:58:15+00:00,1,Impossible d'aller sur le site…. Impossible d'aller sur le site normalement..je tombe sur la version neo zélandaise (!)... impossible de changer...je retourne sur Airbnb,Trustpilot,Localisation / Langue,,Haute
2026-04-13 22:03:41+00:00,5,parfait,Google Play,Autre,,Basse
2026-04-13 20:03:41+00:00,5,parfait,Google Play,Autre,,Basse
2026-04-13 18:06:41+00:00,1,"je cherche à annuler a partir du smartphone une réservation Abritel pour Noël 2026 et je ne peux pas car je tombe sur un agent virtuel instable et qui se bloque apres avoir proposé: "" Commençons par le motif de l’annulation. Veuillez en sélectionner un"" A ce stade je suis bloqué. Cordialement",Google Play,Annulation / Réservation,Bug Technique,Haute
2026-04-13 16:06:41+00:00,1,"je cherche à annuler a partir du smartphone une réservation Abritel pour Noël 2026 et je ne peux pas car je tombe sur un agent virtuel instable et qui se bloque apres avoir proposé: "" Commençons par le motif de l’annulation. Veuillez en sélectionner un"" A ce stade je suis bloqué. Cordialement",Google Play,Annulation / Réservation,Bug Technique,Haute
2026-04-13 09:17:30+00:00,2,description non conforme à la réalité,Google Play,Qualité du bien,,Moyenne
2026-04-13 08:45:55+00:00,1,"Site à éviter. Location annulée par le propriétaire, sans explication, à 10 jours du départ nous laissant sans solution ! Proposition d'Abritel avec ""l'assurance"" logement: 1 chambre pour un couple  plus un ado de 14 ans, plus chère et plus loin de notre lieu de visite. Première et dernière sur ce site. Heureusement booking nous a trouvé une solution",Trustpilot,Annulation / Réservation,Financier,Haute
2026-04-13 07:17:30+00:00,2,description non conforme à la réalité,Google Play,Qualité du bien,,Moyenne
2026-04-12 19:42:20+00:00,1,"Abritel c est une arnaque à fuir.. Abritel c est une arnaque à fuir.
J ai réservé et J ai dû annuler. J ai suivi la procédure d annulation. J ai appelé plusieurs fois abritel et l hôte. Ils ont enfin fini par annuler ma réservation mais ils ne veulent pas me rembourser et me trouve des tas d excuses pour ne pas le faire. Ce sont des voleurs",Trustpilot,Annulation / Réservation,Financier,Haute
2026-04-12 16:42:02+00:00,1,"bonjour, propriétaire sur l'application Virbo, je ne suis absolument pas satisfaite. il y a plus de 15 jours maintenant que j’attend un paiement pour ma 1ere location sur Abritel. je ne sais pas ce que fait ce site avec nos rémunérations mais cela commence à me déplaire sérieusement. je pense retirer mon logement de ce site qui n’est pour moi pas réglo !",Google Play,Financier,Qualité du bien,Haute
2026-04-12 14:42:02+00:00,1,"bonjour, propriétaire sur l'application Virbo, je ne suis absolument pas satisfaite. il y a plus de 15 jours maintenant que j’attend un paiement pour ma 1ere location sur Abritel. je ne sais pas ce que fait ce site avec nos rémunérations mais cela commence à me déplaire sérieusement. je pense retirer mon logement de ce site qui n’est pour moi pas réglo !",Google Play,Financier,Qualité du bien,Haute
2026-04-12 08:29:48+00:00,5,"très bien juste pas de bare de recherche pour décrire la maison que on voulait (moderne , médiévale...",Google Play,Qualité du bien,,Basse
2026-04-12 06:29:48+00:00,5,"très bien juste pas de bare de recherche pour décrire la maison que on voulait (moderne , médiévale...",Google Play,Qualité du bien,,Basse
2026-04-11 18:09:14+00:00,4,comment recevoir toutes les infos en français ??,Google Play,Localisation / Langue,,Basse
2026-04-11 16:09:14+00:00,4,comment recevoir toutes les infos en français ??,Google Play,Localisation / Langue,,Basse
2026-04-11 07:18:47+00:00,1,"Bonjour, - Impossible de voir le paiement (le montant...) qui est en cours de validation - Les mails se mélangent, plusieurs pour le même bien - Et ceux que je reçois dans ma boîte mail perso, il n'y a même pas le nom/le lieux du bien : pas facile de s'y retrouver, quand on a écrit à +sieurs personnes. Pas trouvé la possibilité de faire une recherche par le n° d'annonce - Pas trouvé ou suppr des messages, dans messagerie de l'application. le montant à payer et inférieur à celui réellement payé😓",Google Play,Financier,UX / Ergonomie,Haute
2026-04-11 05:18:47+00:00,1,"Bonjour, - Impossible de voir le paiement (le montant...) qui est en cours de validation - Les mails se mélangent, plusieurs pour le même bien - Et ceux que je reçois dans ma boîte mail perso, il n'y a même pas le nom/le lieux du bien : pas facile de s'y retrouver, quand on a écrit à +sieurs personnes. Pas trouvé la possibilité de faire une recherche par le n° d'annonce - Pas trouvé ou suppr des messages, dans messagerie de l'application. le montant à payer et inférieur à celui réellement payé😓",Google Play,Financier,UX / Ergonomie,Haute
2026-04-10 12:52:15+00:00,5,utilisateur depuis de nombreuses années. toujours satisfait des locations estivales.,Google Play,Qualité du bien,,Basse
2026-04-10 09:49:23+00:00,4,"très facile d'utilisation, petit bémol la plateforme de paiement est en anglais et pas facile pour moi qui ne maîtrise pas cette langue",Google Play,Localisation / Langue,Financier,Basse
2026-04-09 11:34:57+00:00,5,enfin des locations abordable 🥰,Google Play,Qualité du bien,,Basse
2026-04-07 22:35:40+00:00,1,impossible d'avoir l'application en français.,Google Play,Localisation / Langue,,Haute
2026-04-07 10:55:50+00:00,1,"Proxénète de la location courte durée.. Proxénète de la location courte durée.
en tant qu'hôte hébergeur, on nous oblige à faire du chiffre d'affaires. Impossible de travailler à son rythme.
tous les deux mois ils relèvent les compteurs.
Plus de détail sur des méthodes plus que douteuses dans un prochain avis",Trustpilot,Qualité du bien,,Haute
2026-04-07 10:53:02+00:00,1,"Depuis maintenant plusieurs mois, quand je veux ouvrir l'application Abritel, je suis dirigé vers une autre appli qui communique en Anglais et les prix sont en dollars !!?? Beaucoup de tentatives pour vous en informer et espérer une correction, mais en vain !? celle ci serait elle la bonne !?",Google Play,Localisation / Langue,Financier,Haute
2026-04-06 20:21:30+00:00,1,bonjour. comment on change la langue de l application ? celle ci est paramétré en allemand et je cherche en français,Google Play,Localisation / Langue,,Haute
2026-04-06 08:04:17+00:00,1,"nul, impossible d cceder a mon compte propriétaire",Google Play,Qualité du bien,,Haute
2026-04-04 22:02:15+00:00,5,excellent pour moi,Google Play,Bug Technique,,Basse
2026-04-04 19:51:02+00:00,5,super,Google Play,Autre,,Basse
2026-04-04 17:59:24+00:00,4,c'est pas mal mais un peu exigeant dans la demande,Google Play,Autre,,Basse
2026-04-04 17:35:56+00:00,5,service efficace et précis,Google Play,Autre,,Basse
2026-04-04 11:15:59+00:00,1,site impossible de complexité et d'une lenteur phénoménale. on ne trouve rien de ce que l'on cherche et tout de ce que l'on ne veut pa sa,Google Play,Bug Technique,UX / Ergonomie,Haute
2026-04-03 18:48:56+00:00,4,simple et fiable,Google Play,Autre,,Basse
2026-04-03 14:42:04+00:00,1,"Location à Cabourg par Abritel. Location à Cabourg par Abritel du 4 au 14 juillet 2023.
Location acceptée puis refusée dans les minutes suivantes, en cause une erreur de prix indiquée à 117€ la nuit qui passe soudainement à 130€ réservation refusée par la propriétaire Mme Valentin qui met en avant cette erreur venant de qui je ne le saurai jamais.
C'est purement une tentative d'escroquerie.
Evidemment je ne donne pas suite",Trustpilot,Annulation / Réservation,Financier,Haute
2026-04-03 11:23:18+00:00,1,impossible d avoir l application en français et en euros,Google Play,Localisation / Langue,,Haute
2026-04-03 08:56:22+00:00,5,très facile a utiliser et très serieux,Google Play,Autre,,Basse
2026-04-03 08:12:39+00:00,5,performance et facilité du site,Google Play,Autre,,Basse
2026-04-02 15:51:47+00:00,1,"Horrible all. Prices in random currencies, properties sorted on stupid order, useless AI chatbot… Avoid",App Store,Localisation / Langue,Service Client,Haute
2026-04-01 20:29:15+00:00,1,"A fuire absolument ... Zéro pointé. Une réservation effectuée en Nov 2025 pour juillet 2026.  De notre côté on anticipe pour trouver la perle rare. En janvier la propriétaire decide de changer les dates de notre séjour...ben voyons.
Je m'en rends compte en mars car bien sûr aucun message. J'appelle la propriétaire qui se dedouane en disant d'appeler Abritel. La plateforme situé aux USA m'explique que la proprio a changé les dates et qu'ils ne peuvent rien faire si ce n'est rembourser et nous aider à trouver un autre logement. Ok pour le remboursement mais aucune aide pour trouver autre chose. Silence radio. Changement de plateforme pour AIR BNB , retour aux valeurs sûres. Je ne repasserai plus jamais par Abritel",Trustpilot,Financier,Service Client,Haute
2026-04-01 13:31:49+00:00,1,Impossible de partager une réservation avec un ami. Quant aux prix des locations ils sont plus élevés que sur des sites concurrents.,Google Play,Financier,Qualité du bien,Haute
2026-03-31 10:15:49+00:00,1,"Très mauvais système de réservation. On attend 24 h après une réservation
 pour ensuite revoir un mail disant que la demande a expiré et du plus il faut laisser des coordonnées bancaires",App Store,Service Client,,Haute
2026-03-30 15:52:48+00:00,5,5 magnifique,Google Play,Autre,,Basse
2026-03-30 12:19:07+00:00,1,dommage que cette appli ne doit pas compatible avec mon telephone!,Google Play,Bug Technique,Service Client,Haute
2026-03-29 21:30:39+00:00,1,Message d'erreur systématique quand on veut partager un logement ou un voyage,Google Play,Bug Technique,Qualité du bien,Haute
2026-03-29 21:13:31+00:00,5,je veux l'application abritel en francais,Google Play,Localisation / Langue,,Basse
2026-03-29 19:23:58+00:00,1,"Aucune prise en charge malgré leur frais élevés!. Ne réservez pas vos vacances avec Abritel.. notre réservation pour la première semaine d’août vient d’être annulée par le propriétaire et Abritel ne nous ont pas proposé de geste commercial, hors les tarifs ne sont plus du tout les mêmes car toutes les maisons sont quasi réservées pour cette semaine! Ils nous proposent de réserver une maison sans piscine pour le même prix (merci pour l’astuce..) Donc ne comptez pas sur eux pour une quelconque prise en charge de la différence en cas d’annulation, en bref ne passez pas par Abritel mais plutôt par Airbnb",Trustpilot,Annulation / Réservation,Financier,Haute
2026-03-29 16:31:06+00:00,5,encore jamais déçu,Google Play,Autre,,Basse
2026-03-29 16:17:44+00:00,1,"Très mauvais gestion, service client déplorable.... Très déçu par la gestion de ma maison en location sur ce site : service client déplorable, à l'étranger, aucune écoute ni du propriétaire, ni du locataire, mais ont la main sur tout ! A fuir !!! Il faut bloquer ce système de sites qui prennent locataires et propriétaires en otage !",Trustpilot,Bug Technique,Service Client,Haute
2026-03-28 15:56:54+00:00,5,"Appartement très propre et fonctionnel. A deux pas de la plage. Kush le propriétaire est très accueillant, agréable et serviable. A recommander sans hésiter.",Google Play,Qualité du bien,,Basse
2026-03-28 14:59:33+00:00,5,très facile d'utilisation,Google Play,Autre,,Basse
2026-03-25 22:27:07+00:00,5,excellent,Google Play,Bug Technique,,Basse
2026-03-25 12:11:45+00:00,1,"ne fonctionne jamais, toujours un message d'erreur, demande l'authentification avec puzzle plusieurs fois, impossible de joindre quelqu'un ou alors message en anglais quand on parle français. demande de mise à jour nombre de personnes, non prose en compte dans le tarif. je ne réserverai plus avec abritel",Google Play,Localisation / Langue,Financier,Haute
2026-03-24 18:57:32+00:00,1,"Loc mensongère via abritel…. Nous avons loué une maison via abritel et l annonce était totalement mensongère 
Pour 5 adultes nous avons eu droit en couchage à une mezzanine ouverte avec 2 grands lits et 1 lit enfant sans intimité ni fenêtres 
A la place de 2 sdb juste une salle d eau minuscule 
Quant à l emplacement vue mer en pleine campagne charentaise!
Nous étions là bas pour un décès et nous n avons pas pu être ensemble ,mon frère a dû se louer un appartement 
J ai fait une réclamation téléphonique à abritel puis mail avec photo à l appuimais rien! Plus de contact ou réponses 
Je me suis retourné vers la propriétaire et son site Holidu mais pareil rien! 
C est dégueulasse",Trustpilot,Service Client,Qualité du bien,Haute
2026-03-24 14:46:09+00:00,1,communications très difficiles avec ABRITEL pour recevoir un simple reçu Pas de réponses aux messages laissés Dialogue de sourd avec l'assistance automayique qui ne comprend pas les questions Réponse enfin reçu d'un assistant via un traducteur et document demandé finalement y transmis....en Anglais!,Google Play,Localisation / Langue,Service Client,Haute
2026-03-24 12:20:11+00:00,1,"En tant que propriétaire....Nul. Bon, je viens de retirer ma location d'abritel, j'ai lu les avis, je ne suis pas étonné du fait que je n'ai eu aucune réservation. Apparemment, ils arnaquent autant les locataires que les propriétaires.... Ils sont bien ces gens ?? Hahahaha",Trustpilot,Financier,Qualité du bien,Haute
2026-03-23 21:38:11+00:00,1,"Arnaque. Propose une location comme ""perle rare au pied des pistes"" résultat nous étions à 3 km et bien sur pour un prix élevé... appartement sale.. cela fait un mois que je les harcèle par mail et par téléphone pour un remboursement partiel toujours rien à ce jour service après-vente 0 et publicité mensongère",Trustpilot,Financier,Service Client,Haute
2026-03-22 11:43:49+00:00,5,"très bon site pour les vacances. simple , efficace.",Google Play,Autre,,Basse
2026-03-22 09:58:58+00:00,1,impossible d'avoir le site en français et en €,Google Play,Localisation / Langue,,Haute
2026-03-21 19:21:38+00:00,2,"location annulée à 3 jours du départ, appartement vendu. Pour un départ le mardi pour un mois depuis Bordeaux pour l'île de la Réunion (11h de vol depuis Paris) ABRITEL m'a envoyé un mail le samedi soit 3 jours avant le départ pour annuler ma réservation effectuée deux mois auparavant car le propriétaire a vendu son appartement. Avec obligation de relouer proche de l'adresse de base en passant par les partenaires du groupe VRBO(vacation rentals by owner) pour être remboursé. Pas de système d'avoir j'ai dû repayer en totalité la location avant d'être remboursé dans l'intégralité. Le choix et les disponibilités ont été limités. Impossible de déposer un recours pour dédommagement du préjudice encouru, stress...seul moyen de contact étant les plate formes qui me répondent que j'ai été remboursée",Trustpilot,Localisation / Langue,Annulation / Réservation,Moyenne
2026-03-20 14:14:35+00:00,2,très déçue.,Google Play,Autre,,Moyenne
2026-03-20 01:26:52+00:00,1,"Catastrophique. Catastrophique, débit en livres sterling d’un montant supérieur au montant indiqué sur la réservation. L’appartement disparaît du site après paiement ! Réapparaît au bout de 30 minutes mais aucune réponse du propriétaire . Ça sent l’arnaque à plein nez. J’ai dû annuler ma réservation par précaution. Les avis ne sont pas accessibles sur leur site. Pas de facture conforme et le service client vous appelle des USA sans se soucier de l’impact du coup de l’appel pour moi. Des VOLEURS À FUIR !!!!",Trustpilot,Annulation / Réservation,Financier,Haute
2026-03-19 20:45:12+00:00,5,pratique rapide,Google Play,Autre,,Basse
